"date","ni","day"
2020-12-01,3287,"Tue"
2020-12-02,3238,"Wed"
2020-12-03,2650,"Thu"
2020-12-04,2650,"Fri"
2020-12-05,0,NA
2020-12-06,2997,"Sun"
2020-12-07,2730,"Mon"
2020-12-08,2449,"Tue"
2020-12-09,3172,"Wed"
2020-12-10,2117,"Thu"
2020-12-11,2549,"Fri"
2020-12-12,0,NA
2020-12-13,0,NA
2020-12-14,2973,"Mon"
2020-12-15,2456,"Tue"
2020-12-16,2721,"Wed"
2020-12-17,2804,"Thu"
2020-12-18,2568,"Fri"
2020-12-19,275,"Sat"
2020-12-20,0,NA
2020-12-21,3014,"Mon"
2020-12-22,2327,"Tue"
2020-12-23,2348,"Wed"
2020-12-24,1596,"Thu"
2020-12-25,0,NA
2020-12-26,0,NA
2020-12-27,0,NA
2020-12-28,0,NA
2020-12-29,2639,"Tue"
2020-12-30,3256,"Wed"
2020-12-31,2407,"Thu"
2021-01-01,36,"Fri"
2021-01-02,113,"Sat"
2021-01-03,0,NA
2021-01-04,3809,"Mon"
2021-01-05,3406,"Tue"
2021-01-06,3712,"Wed"
2021-01-07,2415,"Thu"
2021-01-08,2903,"Fri"
2021-01-09,0,NA
2021-01-10,0,NA
2021-01-11,3705,"Mon"
2021-01-12,3074,"Tue"
2021-01-13,3213,"Wed"
2021-01-14,2865,"Thu"
2021-01-15,2735,"Fri"
2021-01-16,0,NA
2021-01-17,1,"Sun"
2021-01-18,4468,"Mon"
2021-01-19,3109,"Tue"
2021-01-20,3461,"Wed"
2021-01-21,2858,"Thu"
2021-01-22,2291,"Fri"
2021-01-23,0,NA
2021-01-24,54,"Sun"
2021-01-25,4448,"Mon"
2021-01-26,3082,"Tue"
2021-01-27,3359,"Wed"
2021-01-28,2728,"Thu"
2021-01-29,2732,"Fri"
2021-01-30,104,"Sat"
2021-01-31,0,NA
2021-02-01,3741,"Mon"
2021-02-02,3291,"Tue"
2021-02-03,3440,"Wed"
2021-02-04,2971,"Thu"
2021-02-05,2783,"Fri"
2021-02-06,98,"Sat"
2021-02-07,0,NA
2021-02-08,4070,"Mon"
2021-02-09,3796,"Tue"
2021-02-10,3691,"Wed"
2021-02-11,3407,"Thu"
2021-02-12,2172,"Fri"
2021-02-13,0,NA
2021-02-14,0,NA
2021-02-15,2993,"Mon"
2021-02-16,3635,"Tue"
2021-02-17,3326,"Wed"
2021-02-18,3224,"Thu"
2021-02-19,3047,"Fri"
2021-02-20,0,NA
2021-02-21,0,NA
2021-02-22,3280,"Mon"
2021-02-23,3088,"Tue"
2021-02-24,4028,"Wed"
2021-02-25,4031,"Thu"
2021-02-26,3006,"Fri"
2021-02-27,2962,"Sat"
2021-02-28,0,NA
2021-03-01,3530,"Mon"
2021-03-02,3571,"Tue"
2021-03-03,3285,"Wed"
2021-03-04,2909,"Thu"
2021-03-05,3292,"Fri"
2021-03-06,0,NA
2021-03-07,0,NA
2021-03-08,3824,"Mon"
2021-03-09,2918,"Tue"
