"week","AreaCovered","Aug2021","Aug2019","change"
17,"North London",755,369,104.607046070461
18,"North London",704,352,100
19,"North London",768,460,66.9565217391304
20,"North London",869,436,99.3119266055046
21,"North London",697,352,98.0113636363636
22,"North London",673,369,82.3848238482385
23,"North London",671,379,77.0448548812665
24,"North London",623,432,44.212962962963
25,"North London",736,415,77.3493975903614
26,"North London",750,375,100
27,"North London",689,488,41.1885245901639
28,"North London",624,430,45.1162790697675
29,"North London",595,398,49.4974874371859
30,"North London",561,398,40.9547738693467
31,"North London",641,424,51.1792452830189
32,"North London",625,433,44.3418013856813
33,"North London",629,375,67.7333333333333
34,"North London",572,356,60.6741573033708
1,"South East London",309,118,161.864406779661
2,"South East London",314,147,113.605442176871
3,"South East London",340,174,95.4022988505747
4,"South East London",366,152,140.789473684211
5,"South East London",328,149,120.134228187919
6,"South East London",326,203,60.5911330049261
7,"South East London",291,173,68.2080924855491
8,"South East London",379,175,116.571428571429
9,"South East London",372,221,68.3257918552036
10,"South East London",324,185,75.1351351351351
11,"South East London",320,188,70.2127659574468
12,"South East London",351,211,66.3507109004739
13,"South East London",352,221,59.2760180995475
14,"South East London",278,208,33.6538461538461
15,"South East London",318,254,25.1968503937008
16,"South East London",353,147,140.136054421769
17,"South East London",355,230,54.3478260869565
18,"South East London",265,132,100.757575757576
19,"South East London",309,213,45.0704225352113
20,"South East London",383,216,77.3148148148148
21,"South East London",273,164,66.4634146341463
22,"South East London",261,218,19.7247706422018
23,"South East London",286,214,33.6448598130841
24,"South East London",265,232,14.2241379310345
25,"South East London",286,175,63.4285714285714
26,"South East London",297,173,71.6763005780347
27,"South East London",275,226,21.6814159292035
28,"South East London",254,185,37.2972972972973
29,"South East London",319,203,57.1428571428571
30,"South East London",297,167,77.8443113772455
31,"South East London",270,183,47.5409836065574
32,"South East London",297,190,56.3157894736842
33,"South East London",308,168,83.3333333333333
34,"South East London",311,138,125.36231884058
1,"South West London",325,134,142.537313432836
2,"South West London",365,220,65.9090909090909
3,"South West London",372,222,67.5675675675676
4,"South West London",358,237,51.0548523206751
5,"South West London",392,216,81.4814814814815
6,"South West London",388,227,70.9251101321586
7,"South West London",329,219,50.2283105022831
8,"South West London",405,183,121.311475409836
9,"South West London",432,235,83.8297872340426
10,"South West London",367,209,75.5980861244019
11,"South West London",345,237,45.5696202531646
12,"South West London",342,240,42.5
13,"South West London",398,264,50.7575757575758
14,"South West London",309,225,37.3333333333333
15,"South West London",344,287,19.8606271777003
16,"South West London",347,144,140.972222222222
17,"South West London",378,223,69.5067264573991
18,"South West London",302,166,81.9277108433735
19,"South West London",364,247,47.3684210526316
20,"South West London",352,280,25.7142857142857
21,"South West London",375,186,101.612903225806
22,"South West London",329,226,45.575221238938
23,"South West London",355,242,46.6942148760331
24,"South West London",335,265,26.4150943396226
25,"South West London",308,212,45.2830188679245
26,"South West London",295,222,32.8828828828829
27,"South West London",284,246,15.4471544715447
28,"South West London",311,220,41.3636363636364
29,"South West London",285,223,27.8026905829596
30,"South West London",359,193,86.0103626943005
31,"South West London",285,219,30.1369863013699
32,"South West London",292,236,23.728813559322
33,"South West London",272,224,21.4285714285714
34,"South West London",327,170,92.3529411764706
1,"West London",364,161,126.086956521739
2,"West London",490,243,101.646090534979
3,"West London",494,245,101.632653061225
4,"West London",490,293,67.2354948805461
5,"West London",464,251,84.8605577689243
6,"West London",508,347,46.3976945244957
7,"West London",493,252,95.6349206349206
8,"West London",531,264,101.136363636364
9,"West London",623,309,101.618122977346
10,"West London",528,333,58.5585585585586
11,"West London",499,288,73.2638888888889
12,"West London",505,320,57.8125
13,"West London",587,300,95.6666666666667
14,"West London",440,349,26.0744985673352
15,"West London",506,333,51.9519519519519
16,"West London",541,212,155.188679245283
17,"West London",473,296,59.7972972972973
18,"West London",469,275,70.5454545454546
19,"West London",513,358,43.2960893854749
20,"West London",596,328,81.7073170731707
21,"West London",460,290,58.6206896551724
22,"West London",432,314,37.5796178343949
23,"West London",523,305,71.4754098360656
24,"West London",498,305,63.2786885245902
25,"West London",489,264,85.2272727272727
26,"West London",488,283,72.4381625441696
27,"West London",475,325,46.1538461538461
28,"West London",477,288,65.625
29,"West London",417,318,31.1320754716981
30,"West London",488,270,80.7407407407407
31,"West London",475,258,84.1085271317829
32,"West London",529,299,76.9230769230769
33,"West London",492,281,75.0889679715302
34,"West London",451,229,96.943231441048
