"date","ni","day"
2020-12-31,2370,"Thu"
2021-01-01,60,"Fri"
2021-01-02,110,"Sat"
2021-01-03,0,NA
2021-01-04,3750,"Mon"
2021-01-05,3355,"Tue"
2021-01-06,3660,"Wed"
2021-01-07,2381,"Thu"
2021-01-08,2868,"Fri"
2021-01-09,0,NA
2021-01-10,0,NA
2021-01-11,3647,"Mon"
2021-01-12,3032,"Tue"
2021-01-13,3172,"Wed"
2021-01-14,2830,"Thu"
2021-01-15,2687,"Fri"
2021-01-16,0,NA
2021-01-17,1,"Sun"
2021-01-18,4399,"Mon"
2021-01-19,3071,"Tue"
2021-01-20,3425,"Wed"
2021-01-21,2810,"Thu"
2021-01-22,2263,"Fri"
2021-01-23,0,NA
2021-01-24,53,"Sun"
2021-01-25,4380,"Mon"
2021-01-26,3033,"Tue"
2021-01-27,3310,"Wed"
2021-01-28,2688,"Thu"
2021-01-29,2697,"Fri"
2021-01-30,104,"Sat"
2021-01-31,0,NA
2021-02-01,3677,"Mon"
2021-02-02,3257,"Tue"
2021-02-03,3393,"Wed"
2021-02-04,2940,"Thu"
2021-02-05,2752,"Fri"
2021-02-06,98,"Sat"
2021-02-07,0,NA
2021-02-08,3997,"Mon"
2021-02-09,3743,"Tue"
2021-02-10,3646,"Wed"
2021-02-11,3365,"Thu"
2021-02-12,2145,"Fri"
2021-02-13,0,NA
2021-02-14,0,NA
2021-02-15,2935,"Mon"
2021-02-16,3585,"Tue"
2021-02-17,3300,"Wed"
2021-02-18,3188,"Thu"
2021-02-19,3005,"Fri"
2021-02-20,0,NA
2021-02-21,0,NA
2021-02-22,3234,"Mon"
2021-02-23,3042,"Tue"
2021-02-24,3963,"Wed"
2021-02-25,3993,"Thu"
2021-02-26,2968,"Fri"
2021-02-27,2929,"Sat"
2021-02-28,0,NA
2021-03-01,3476,"Mon"
2021-03-02,3532,"Tue"
2021-03-03,3267,"Wed"
2021-03-04,2888,"Thu"
2021-03-05,3271,"Fri"
2021-03-06,0,NA
2021-03-07,0,NA
2021-03-08,3799,"Mon"
2021-03-09,2902,"Tue"
2021-03-10,2897,"Wed"
2021-03-11,3491,"Thu"
2021-03-12,3657,"Fri"
2021-03-13,54,"Sat"
2021-03-14,0,NA
2021-03-15,4299,"Mon"
2021-03-16,3405,"Tue"
2021-03-17,2551,"Wed"
2021-03-18,2711,"Thu"
2021-03-19,3166,"Fri"
2021-03-20,2,"Sat"
2021-03-21,1878,"Sun"
2021-03-22,3516,"Mon"
2021-03-23,2759,"Tue"
2021-03-24,3251,"Wed"
2021-03-25,2593,"Thu"
2021-03-26,3284,"Fri"
2021-03-27,0,NA
2021-03-28,2047,"Sun"
2021-03-29,4135,"Mon"
2021-03-30,2973,"Tue"
2021-03-31,3119,"Wed"
2021-04-01,3151,"Thu"
2021-04-02,0,NA
2021-04-03,3254,"Sat"
2021-04-04,0,NA
2021-04-05,1,"Mon"
2021-04-06,3547,"Tue"
2021-04-07,3636,"Wed"
2021-04-08,4113,"Thu"
2021-04-09,3533,"Fri"
2021-04-10,0,NA
2021-04-11,0,NA
2021-04-12,3229,"Mon"
2021-04-13,2637,"Tue"
2021-04-14,3613,"Wed"
2021-04-15,3451,"Thu"
2021-04-16,3101,"Fri"
2021-04-17,0,NA
2021-04-18,0,NA
2021-04-19,4029,"Mon"
2021-04-20,2475,"Tue"
2021-04-21,2803,"Wed"
2021-04-22,2549,"Thu"
2021-04-23,2728,"Fri"
2021-04-24,0,NA
2021-04-25,0,NA
2021-04-26,3670,"Mon"
2021-04-27,3478,"Tue"
2021-04-28,3208,"Wed"
2021-04-29,2991,"Thu"
2021-04-30,2485,"Fri"
2021-05-01,11,"Sat"
2021-05-02,0,NA
2021-05-03,2310,"Mon"
2021-05-04,3840,"Tue"
2021-05-05,2893,"Wed"
2021-05-06,2497,"Thu"
2021-05-07,2489,"Fri"
2021-05-08,0,NA
2021-05-09,0,NA
2021-05-10,3068,"Mon"
2021-05-11,3900,"Tue"
2021-05-12,3019,"Wed"
2021-05-13,3234,"Thu"
2021-05-14,4467,"Fri"
2021-05-15,306,"Sat"
2021-05-16,1964,"Sun"
2021-05-17,3258,"Mon"
2021-05-18,2659,"Tue"
2021-05-19,2398,"Wed"
2021-05-20,2993,"Thu"
2021-05-21,2391,"Fri"
2021-05-22,0,NA
2021-05-23,0,NA
2021-05-24,3431,"Mon"
2021-05-25,2675,"Tue"
2021-05-26,3099,"Wed"
2021-05-27,2895,"Thu"
2021-05-28,2762,"Fri"
2021-05-29,0,NA
2021-05-30,0,NA
2021-05-31,1571,"Mon"
2021-06-01,3368,"Tue"
2021-06-02,2598,"Wed"
2021-06-03,2523,"Thu"
2021-06-04,2365,"Fri"
2021-06-05,0,NA
2021-06-06,0,NA
2021-06-07,3785,"Mon"
2021-06-08,2875,"Tue"
2021-06-09,2508,"Wed"
2021-06-10,2896,"Thu"
2021-06-11,2218,"Fri"
2021-06-12,0,NA
2021-06-13,0,NA
2021-06-14,3015,"Mon"
2021-06-15,3049,"Tue"
2021-06-16,2476,"Wed"
2021-06-17,2649,"Thu"
2021-06-18,2791,"Fri"
2021-06-19,233,"Sat"
2021-06-20,273,"Sun"
2021-06-21,3478,"Mon"
2021-06-22,2366,"Tue"
2021-06-23,2239,"Wed"
2021-06-24,2369,"Thu"
2021-06-25,2747,"Fri"
2021-06-26,224,"Sat"
2021-06-27,273,"Sun"
2021-06-28,2918,"Mon"
2021-06-29,2634,"Tue"
2021-06-30,2527,"Wed"
2021-07-01,2930,"Thu"
2021-07-02,2047,"Fri"
2021-07-03,394,"Sat"
2021-07-04,405,"Sun"
2021-07-05,3349,"Mon"
2021-07-06,2512,"Tue"
2021-07-07,2367,"Wed"
2021-07-08,2572,"Thu"
2021-07-09,2879,"Fri"
2021-07-10,65,"Sat"
2021-07-11,0,NA
2021-07-12,2316,"Mon"
2021-07-13,2582,"Tue"
2021-07-14,2216,"Wed"
2021-07-15,2860,"Thu"
2021-07-16,2255,"Fri"
2021-07-17,199,"Sat"
2021-07-18,229,"Sun"
2021-07-19,3029,"Mon"
2021-07-20,2507,"Tue"
2021-07-21,2075,"Wed"
2021-07-22,2740,"Thu"
2021-07-23,2693,"Fri"
2021-07-24,271,"Sat"
2021-07-25,261,"Sun"
2021-07-26,2553,"Mon"
2021-07-27,2626,"Tue"
2021-07-28,2581,"Wed"
2021-07-29,2604,"Thu"
2021-07-30,2538,"Fri"
2021-07-31,280,"Sat"
2021-08-01,321,"Sun"
2021-08-02,2647,"Mon"
2021-08-03,1616,"Tue"
2021-08-04,2978,"Wed"
2021-08-05,2717,"Thu"
2021-08-06,2853,"Fri"
2021-08-07,282,"Sat"
2021-08-08,312,"Sun"
2021-08-09,3109,"Mon"
2021-08-10,2114,"Tue"
2021-08-11,2425,"Wed"
2021-08-12,2786,"Thu"
2021-08-13,2443,"Fri"
2021-08-14,208,"Sat"
2021-08-15,256,"Sun"
2021-08-16,2783,"Mon"
2021-08-17,2584,"Tue"
2021-08-18,2474,"Wed"
2021-08-19,2167,"Thu"
2021-08-20,2075,"Fri"
2021-08-21,0,NA
2021-08-22,0,NA
2021-08-23,3455,"Mon"
2021-08-24,3153,"Tue"
2021-08-25,2856,"Wed"
2021-08-26,2396,"Thu"
2021-08-27,2226,"Fri"
2021-08-28,212,"Sat"
2021-08-29,230,"Sun"
2021-08-30,1721,"Mon"
2021-08-31,2839,"Tue"
