"date","ni","day"
2020-11-16,2666,"Mon"
2020-11-17,2647,"Tue"
2020-11-18,2937,"Wed"
2020-11-19,3038,"Thu"
2020-11-20,3003,"Fri"
2020-11-21,0,NA
2020-11-22,0,NA
2020-11-23,3113,"Mon"
2020-11-24,3010,"Tue"
2020-11-25,2519,"Wed"
2020-11-26,2536,"Thu"
2020-11-27,2890,"Fri"
2020-11-28,6,"Sat"
2020-11-29,0,NA
2020-11-30,3221,"Mon"
2020-12-01,3212,"Tue"
2020-12-02,3137,"Wed"
2020-12-03,2582,"Thu"
2020-12-04,2587,"Fri"
2020-12-05,0,NA
2020-12-06,2922,"Sun"
2020-12-07,2660,"Mon"
2020-12-08,2382,"Tue"
2020-12-09,3082,"Wed"
2020-12-10,2057,"Thu"
2020-12-11,2490,"Fri"
2020-12-12,0,NA
2020-12-13,0,NA
2020-12-14,2872,"Mon"
2020-12-15,2400,"Tue"
2020-12-16,2653,"Wed"
2020-12-17,2729,"Thu"
2020-12-18,2487,"Fri"
2020-12-19,269,"Sat"
2020-12-20,0,NA
2020-12-21,2917,"Mon"
2020-12-22,2277,"Tue"
2020-12-23,2285,"Wed"
2020-12-24,1551,"Thu"
2020-12-25,0,NA
2020-12-26,0,NA
2020-12-27,0,NA
2020-12-28,0,NA
2020-12-29,2543,"Tue"
2020-12-30,3159,"Wed"
2020-12-31,2354,"Thu"
2021-01-01,68,"Fri"
2021-01-02,108,"Sat"
2021-01-03,0,NA
2021-01-04,3694,"Mon"
2021-01-05,3310,"Tue"
2021-01-06,3622,"Wed"
2021-01-07,2350,"Thu"
2021-01-08,2832,"Fri"
2021-01-09,0,NA
2021-01-10,0,NA
2021-01-11,3608,"Mon"
2021-01-12,2994,"Tue"
2021-01-13,3134,"Wed"
2021-01-14,2800,"Thu"
2021-01-15,2649,"Fri"
2021-01-16,0,NA
2021-01-17,1,"Sun"
2021-01-18,4340,"Mon"
2021-01-19,3040,"Tue"
2021-01-20,3384,"Wed"
2021-01-21,2787,"Thu"
2021-01-22,2236,"Fri"
2021-01-23,0,NA
2021-01-24,53,"Sun"
2021-01-25,4333,"Mon"
2021-01-26,3001,"Tue"
2021-01-27,3280,"Wed"
2021-01-28,2665,"Thu"
2021-01-29,2670,"Fri"
2021-01-30,104,"Sat"
2021-01-31,0,NA
2021-02-01,3633,"Mon"
2021-02-02,3222,"Tue"
2021-02-03,3361,"Wed"
2021-02-04,2906,"Thu"
2021-02-05,2727,"Fri"
2021-02-06,98,"Sat"
2021-02-07,0,NA
2021-02-08,3959,"Mon"
2021-02-09,3701,"Tue"
2021-02-10,3617,"Wed"
2021-02-11,3329,"Thu"
2021-02-12,2124,"Fri"
2021-02-13,0,NA
2021-02-14,0,NA
2021-02-15,2906,"Mon"
2021-02-16,3553,"Tue"
2021-02-17,3264,"Wed"
2021-02-18,3155,"Thu"
