"date","ni","day"
2021-02-05,2735,"Fri"
2021-02-06,98,"Sat"
2021-02-07,0,NA
2021-02-08,3976,"Mon"
2021-02-09,3712,"Tue"
2021-02-10,3625,"Wed"
2021-02-11,3340,"Thu"
2021-02-12,2132,"Fri"
2021-02-13,0,NA
2021-02-14,0,NA
2021-02-15,2916,"Mon"
2021-02-16,3561,"Tue"
2021-02-17,3271,"Wed"
2021-02-18,3167,"Thu"
2021-02-19,2971,"Fri"
2021-02-20,0,NA
2021-02-21,0,NA
2021-02-22,3209,"Mon"
2021-02-23,3014,"Tue"
2021-02-24,3934,"Wed"
2021-02-25,3977,"Thu"
2021-02-26,2946,"Fri"
2021-02-27,2908,"Sat"
2021-02-28,0,NA
2021-03-01,3457,"Mon"
2021-03-02,3508,"Tue"
2021-03-03,3243,"Wed"
2021-03-04,2868,"Thu"
2021-03-05,3252,"Fri"
2021-03-06,0,NA
2021-03-07,0,NA
2021-03-08,3771,"Mon"
2021-03-09,2882,"Tue"
2021-03-10,2878,"Wed"
2021-03-11,3462,"Thu"
2021-03-12,3635,"Fri"
2021-03-13,54,"Sat"
2021-03-14,1,"Sun"
2021-03-15,4269,"Mon"
2021-03-16,3380,"Tue"
2021-03-17,2532,"Wed"
2021-03-18,2695,"Thu"
2021-03-19,3146,"Fri"
2021-03-20,2,"Sat"
2021-03-21,1868,"Sun"
2021-03-22,3494,"Mon"
2021-03-23,2739,"Tue"
2021-03-24,3224,"Wed"
2021-03-25,2574,"Thu"
2021-03-26,3264,"Fri"
2021-03-27,0,NA
2021-03-28,2023,"Sun"
2021-03-29,4106,"Mon"
2021-03-30,2952,"Tue"
2021-03-31,3104,"Wed"
2021-04-01,3138,"Thu"
2021-04-02,0,NA
2021-04-03,3243,"Sat"
2021-04-04,0,NA
2021-04-05,1,"Mon"
2021-04-06,3531,"Tue"
2021-04-07,3618,"Wed"
2021-04-08,4082,"Thu"
2021-04-09,3514,"Fri"
2021-04-10,0,NA
2021-04-11,0,NA
2021-04-12,3215,"Mon"
2021-04-13,2619,"Tue"
2021-04-14,3593,"Wed"
2021-04-15,3423,"Thu"
2021-04-16,3084,"Fri"
2021-04-17,0,NA
2021-04-18,0,NA
2021-04-19,4003,"Mon"
2021-04-20,2460,"Tue"
2021-04-21,2787,"Wed"
2021-04-22,2530,"Thu"
2021-04-23,2712,"Fri"
2021-04-24,0,NA
2021-04-25,0,NA
2021-04-26,3648,"Mon"
2021-04-27,3450,"Tue"
2021-04-28,3183,"Wed"
2021-04-29,2973,"Thu"
2021-04-30,2473,"Fri"
2021-05-01,14,"Sat"
2021-05-02,0,NA
2021-05-03,2299,"Mon"
2021-05-04,3806,"Tue"
2021-05-05,2872,"Wed"
2021-05-06,2482,"Thu"
2021-05-07,2473,"Fri"
2021-05-08,0,NA
2021-05-09,0,NA
2021-05-10,3040,"Mon"
2021-05-11,3861,"Tue"
2021-05-12,2997,"Wed"
2021-05-13,3208,"Thu"
2021-05-14,4441,"Fri"
2021-05-15,304,"Sat"
2021-05-16,1947,"Sun"
2021-05-17,3231,"Mon"
2021-05-18,2634,"Tue"
2021-05-19,2377,"Wed"
2021-05-20,2974,"Thu"
2021-05-21,2368,"Fri"
2021-05-22,0,NA
2021-05-23,0,NA
2021-05-24,3410,"Mon"
2021-05-25,2661,"Tue"
2021-05-26,3076,"Wed"
2021-05-27,2882,"Thu"
2021-05-28,2745,"Fri"
2021-05-29,0,NA
2021-05-30,0,NA
2021-05-31,1557,"Mon"
2021-06-01,3346,"Tue"
2021-06-02,2581,"Wed"
2021-06-03,2504,"Thu"
2021-06-04,2352,"Fri"
2021-06-05,0,NA
2021-06-06,0,NA
2021-06-07,3750,"Mon"
2021-06-08,2855,"Tue"
2021-06-09,2488,"Wed"
2021-06-10,2874,"Thu"
2021-06-11,2208,"Fri"
2021-06-12,0,NA
2021-06-13,0,NA
2021-06-14,2995,"Mon"
2021-06-15,3025,"Tue"
2021-06-16,2460,"Wed"
2021-06-17,2629,"Thu"
2021-06-18,2776,"Fri"
2021-06-19,229,"Sat"
2021-06-20,272,"Sun"
2021-06-21,3456,"Mon"
2021-06-22,2361,"Tue"
2021-06-23,2234,"Wed"
2021-06-24,2349,"Thu"
2021-06-25,2736,"Fri"
2021-06-26,219,"Sat"
2021-06-27,266,"Sun"
2021-06-28,2906,"Mon"
2021-06-29,2628,"Tue"
2021-06-30,2515,"Wed"
2021-07-01,2924,"Thu"
2021-07-02,2037,"Fri"
2021-07-03,391,"Sat"
2021-07-04,403,"Sun"
2021-07-05,3333,"Mon"
2021-07-06,2497,"Tue"
2021-07-07,2353,"Wed"
2021-07-08,2561,"Thu"
2021-07-09,2868,"Fri"
2021-07-10,65,"Sat"
2021-07-11,0,NA
2021-07-12,2313,"Mon"
2021-07-13,2569,"Tue"
2021-07-14,2209,"Wed"
2021-07-15,2856,"Thu"
2021-07-16,2250,"Fri"
2021-07-17,198,"Sat"
2021-07-18,227,"Sun"
2021-07-19,3020,"Mon"
2021-07-20,2503,"Tue"
2021-07-21,2069,"Wed"
2021-07-22,2737,"Thu"
2021-07-23,2691,"Fri"
2021-07-24,268,"Sat"
2021-07-25,259,"Sun"
2021-07-26,2547,"Mon"
2021-07-27,2621,"Tue"
2021-07-28,2575,"Wed"
2021-07-29,2605,"Thu"
2021-07-30,2533,"Fri"
2021-07-31,277,"Sat"
2021-08-01,327,"Sun"
2021-08-02,2645,"Mon"
2021-08-03,1615,"Tue"
2021-08-04,2976,"Wed"
2021-08-05,2716,"Thu"
2021-08-06,2852,"Fri"
2021-08-07,282,"Sat"
2021-08-08,312,"Sun"
2021-08-09,3109,"Mon"
2021-08-10,2115,"Tue"
2021-08-11,2426,"Wed"
2021-08-12,2786,"Thu"
2021-08-13,2443,"Fri"
2021-08-14,208,"Sat"
2021-08-15,256,"Sun"
2021-08-16,2784,"Mon"
2021-08-17,2587,"Tue"
2021-08-18,2475,"Wed"
2021-08-19,2168,"Thu"
2021-08-20,2075,"Fri"
2021-08-21,0,NA
2021-08-22,0,NA
2021-08-23,3455,"Mon"
2021-08-24,3153,"Tue"
2021-08-25,2856,"Wed"
2021-08-26,2396,"Thu"
2021-08-27,2228,"Fri"
2021-08-28,212,"Sat"
2021-08-29,230,"Sun"
2021-08-30,1723,"Mon"
2021-08-31,2854,"Tue"
2021-09-01,2992,"Wed"
2021-09-02,2281,"Thu"
2021-09-03,2350,"Fri"
2021-09-04,247,"Sat"
2021-09-05,307,"Sun"
2021-09-06,2980,"Mon"
2021-09-07,2687,"Tue"
2021-09-08,2889,"Wed"
2021-09-09,2241,"Thu"
2021-09-10,2956,"Fri"
2021-09-11,294,"Sat"
2021-09-12,276,"Sun"
2021-09-13,2774,"Mon"
2021-09-14,3424,"Tue"
2021-09-15,2891,"Wed"
2021-09-16,2885,"Thu"
2021-09-17,2499,"Fri"
2021-09-18,253,"Sat"
2021-09-19,301,"Sun"
2021-09-20,2616,"Mon"
2021-09-21,3104,"Tue"
2021-09-22,2620,"Wed"
2021-09-23,2640,"Thu"
2021-09-24,2701,"Fri"
2021-09-25,259,"Sat"
2021-09-26,294,"Sun"
2021-09-27,2830,"Mon"
2021-09-28,3195,"Tue"
2021-09-29,2851,"Wed"
2021-09-30,3385,"Thu"
2021-10-01,2550,"Fri"
2021-10-02,247,"Sat"
2021-10-03,298,"Sun"
2021-10-04,3124,"Mon"
2021-10-05,2887,"Tue"
2021-10-06,2815,"Wed"
2021-10-07,2206,"Thu"
2021-10-08,2260,"Fri"
2021-10-09,260,"Sat"
2021-10-10,260,"Sun"
2021-10-11,2358,"Mon"
2021-10-12,3008,"Tue"
2021-10-13,2696,"Wed"
2021-10-14,3302,"Thu"
2021-10-15,2568,"Fri"
2021-10-16,250,"Sat"
2021-10-17,274,"Sun"
2021-10-18,2963,"Mon"
2021-10-19,3484,"Tue"
2021-10-20,3399,"Wed"
2021-10-21,3600,"Thu"
2021-10-22,2937,"Fri"
2021-10-23,280,"Sat"
2021-10-24,268,"Sun"
2021-10-25,3480,"Mon"
2021-10-26,2550,"Tue"
2021-10-27,2641,"Wed"
2021-10-28,2620,"Thu"
2021-10-29,2730,"Fri"
2021-10-30,250,"Sat"
2021-10-31,323,"Sun"
