"week","AreaCovered","Sept2021","Sept2019","change"
26,"North London",752,371,102.695417789757
27,"North London",680,465,46.236559139785
28,"North London",622,404,53.960396039604
29,"North London",594,367,61.8528610354223
30,"North London",558,360,55
31,"North London",639,381,67.7165354330709
32,"North London",625,374,67.1122994652406
33,"North London",623,342,82.1637426900585
34,"North London",562,343,63.8483965014577
35,"North London",541,377,43.501326259947
36,"North London",710,398,78.391959798995
37,"North London",671,381,76.1154855643044
38,"North London",652,450,44.8888888888889
39,"North London",716,432,65.7407407407407
1,"South East London",308,113,172.566371681416
2,"South East London",309,146,111.643835616438
3,"South East London",344,173,98.8439306358381
4,"South East London",363,148,145.27027027027
5,"South East London",325,148,119.594594594595
6,"South East London",326,200,63
7,"South East London",291,174,67.2413793103448
8,"South East London",381,169,125.443786982249
9,"South East London",370,216,71.2962962962963
10,"South East London",327,176,85.7954545454545
11,"South East London",318,180,76.6666666666667
12,"South East London",351,204,72.0588235294118
13,"South East London",343,212,61.7924528301887
14,"South East London",278,193,44.0414507772021
15,"South East London",318,221,43.8914027149321
16,"South East London",355,132,168.939393939394
17,"South East London",352,212,66.0377358490566
18,"South East London",266,119,123.529411764706
19,"South East London",304,197,54.3147208121827
20,"South East London",381,191,99.4764397905759
21,"South East London",272,163,66.8711656441718
22,"South East London",257,214,20.0934579439252
23,"South East London",288,209,37.799043062201
24,"South East London",260,225,15.5555555555555
25,"South East London",284,172,65.1162790697674
26,"South East London",290,168,72.6190476190476
27,"South East London",275,218,26.1467889908257
28,"South East London",252,174,44.8275862068966
29,"South East London",317,192,65.1041666666667
30,"South East London",303,153,98.0392156862745
31,"South East London",276,169,63.3136094674556
32,"South East London",295,172,71.5116279069767
33,"South East London",306,155,97.4193548387097
34,"South East London",307,136,125.735294117647
35,"South East London",319,185,72.4324324324324
36,"South East London",261,172,51.7441860465116
37,"South East London",404,185,118.378378378378
38,"South East London",304,181,67.9558011049724
39,"South East London",353,199,77.3869346733668
1,"South West London",315,133,136.842105263158
2,"South West London",362,216,67.5925925925926
3,"South West London",371,221,67.8733031674208
4,"South West London",356,235,51.4893617021277
5,"South West London",382,214,78.5046728971963
6,"South West London",383,226,69.4690265486726
7,"South West London",327,220,48.6363636363636
8,"South West London",401,181,121.546961325967
9,"South West London",429,229,87.3362445414847
10,"South West London",361,197,83.248730964467
11,"South West London",342,228,50
12,"South West London",339,228,48.6842105263158
13,"South West London",394,256,53.90625
14,"South West London",310,200,55
15,"South West London",337,260,29.6153846153846
16,"South West London",347,131,164.885496183206
17,"South West London",379,205,84.8780487804878
18,"South West London",296,147,101.360544217687
19,"South West London",365,226,61.5044247787611
20,"South West London",340,250,36
21,"South West London",372,182,104.395604395604
22,"South West London",331,222,49.0990990990991
23,"South West London",354,233,51.931330472103
24,"South West London",332,255,30.1960784313726
25,"South West London",302,206,46.6019417475728
26,"South West London",308,220,40
27,"South West London",295,240,22.9166666666667
28,"South West London",306,203,50.7389162561576
29,"South West London",282,200,41
30,"South West London",360,182,97.8021978021978
31,"South West London",283,204,38.7254901960784
32,"South West London",291,220,32.2727272727273
33,"South West London",271,199,36.1809045226131
34,"South West London",320,160,100
35,"South West London",280,216,29.6296296296296
36,"South West London",286,211,35.5450236966825
37,"South West London",384,252,52.3809523809524
38,"South West London",324,231,40.2597402597403
39,"South West London",367,247,48.582995951417
1,"West London",358,164,118.292682926829
2,"West London",492,240,105
3,"West London",493,246,100.406504065041
4,"West London",485,296,63.8513513513514
5,"West London",463,252,83.7301587301587
6,"West London",505,347,45.5331412103746
7,"West London",490,250,96
8,"West London",528,250,111.2
9,"West London",617,296,108.445945945946
10,"West London",524,327,60.2446483180428
11,"West London",492,275,78.9090909090909
12,"West London",501,312,60.5769230769231
13,"West London",587,284,106.69014084507
14,"West London",443,331,33.8368580060423
15,"West London",505,311,62.379421221865
16,"West London",532,201,164.676616915423
17,"West London",473,261,81.2260536398467
18,"West London",470,268,75.3731343283582
19,"West London",523,338,54.7337278106509
20,"West London",612,304,101.315789473684
21,"West London",464,280,65.7142857142857
22,"West London",428,315,35.8730158730159
23,"West London",518,300,72.6666666666667
24,"West London",492,297,65.6565656565657
25,"West London",485,264,83.7121212121212
26,"West London",494,280,76.4285714285714
27,"West London",470,315,49.2063492063492
28,"West London",477,274,74.0875912408759
29,"West London",421,311,35.3697749196142
30,"West London",485,250,94
31,"West London",478,248,92.741935483871
32,"West London",531,282,88.2978723404255
33,"West London",489,260,88.0769230769231
34,"West London",448,224,100
35,"West London",432,266,62.406015037594
36,"West London",411,278,47.841726618705
37,"West London",527,280,88.2142857142857
38,"West London",500,297,68.3501683501684
39,"West London",501,283,77.0318021201413
