"week","Country","Sept2021","Sept2019","change"
16,"Northern Ireland",208,88,136.363636363636
17,"Northern Ireland",180,113,59.2920353982301
18,"Northern Ireland",164,107,53.2710280373832
19,"Northern Ireland",197,144,36.8055555555556
20,"Northern Ireland",192,145,32.4137931034483
21,"Northern Ireland",184,119,54.6218487394958
22,"Northern Ireland",150,144,4.16666666666667
23,"Northern Ireland",172,135,27.4074074074074
24,"Northern Ireland",176,123,43.0894308943089
25,"Northern Ireland",186,146,27.3972602739726
26,"Northern Ireland",149,121,23.1404958677686
27,"Northern Ireland",258,103,150.485436893204
28,"Northern Ireland",134,79,69.620253164557
29,"Northern Ireland",165,167,-1.19760479041916
30,"Northern Ireland",155,138,12.3188405797102
31,"Northern Ireland",168,105,60
32,"Northern Ireland",187,99,88.8888888888889
33,"Northern Ireland",190,106,79.2452830188679
34,"Northern Ireland",190,81,134.567901234568
35,"Northern Ireland",175,143,22.3776223776224
36,"Northern Ireland",168,127,32.2834645669291
37,"Northern Ireland",147,127,15.748031496063
38,"Northern Ireland",207,116,78.448275862069
39,"Northern Ireland",168,136,23.5294117647059
1,"Scotland",487,197,147.208121827411
2,"Scotland",715,463,54.4276457883369
3,"Scotland",658,444,48.1981981981982
4,"Scotland",727,444,63.7387387387387
5,"Scotland",759,461,64.6420824295011
6,"Scotland",774,496,56.0483870967742
7,"Scotland",791,465,70.1075268817204
8,"Scotland",794,635,25.0393700787402
9,"Scotland",780,493,58.2150101419878
10,"Scotland",733,521,40.6909788867562
11,"Scotland",780,569,37.0826010544816
12,"Scotland",757,531,42.5612052730697
13,"Scotland",885,568,55.8098591549296
14,"Scotland",771,539,43.0426716141002
15,"Scotland",768,437,75.7437070938215
16,"Scotland",742,325,128.307692307692
17,"Scotland",738,524,40.8396946564886
18,"Scotland",642,380,68.9473684210526
19,"Scotland",802,546,46.8864468864469
20,"Scotland",676,379,78.3641160949868
21,"Scotland",716,525,36.3809523809524
22,"Scotland",580,538,7.80669144981412
23,"Scotland",702,482,45.6431535269709
24,"Scotland",617,507,21.6962524654832
25,"Scotland",608,473,28.5412262156448
26,"Scotland",651,500,30.2
27,"Scotland",597,431,38.5150812064965
28,"Scotland",518,436,18.8073394495413
29,"Scotland",550,438,25.5707762557078
30,"Scotland",550,393,39.9491094147583
31,"Scotland",653,494,32.1862348178138
32,"Scotland",631,432,46.0648148148148
33,"Scotland",681,472,44.2796610169492
34,"Scotland",662,377,75.5968169761273
35,"Scotland",668,625,6.88
36,"Scotland",617,494,24.8987854251012
37,"Scotland",636,470,35.3191489361702
38,"Scotland",668,506,32.0158102766798
39,"Scotland",631,546,15.5677655677656
1,"Wales",593,244,143.032786885246
2,"Wales",693,410,69.0243902439024
3,"Wales",841,431,95.1276102088167
4,"Wales",731,449,62.8062360801782
5,"Wales",711,386,84.1968911917099
6,"Wales",775,477,62.4737945492662
7,"Wales",697,434,60.5990783410138
8,"Wales",825,401,105.73566084788
9,"Wales",791,455,73.8461538461539
10,"Wales",688,544,26.4705882352941
11,"Wales",754,443,70.2031602708804
12,"Wales",829,518,60.03861003861
13,"Wales",826,522,58.2375478927203
14,"Wales",645,481,34.0956340956341
15,"Wales",740,477,55.1362683438155
16,"Wales",650,255,154.901960784314
17,"Wales",698,400,74.5
18,"Wales",657,338,94.3786982248521
19,"Wales",670,465,44.0860215053764
20,"Wales",806,428,88.3177570093458
21,"Wales",624,488,27.8688524590164
22,"Wales",499,430,16.046511627907
23,"Wales",594,457,29.9781181619256
24,"Wales",638,439,45.3302961275627
25,"Wales",572,442,29.4117647058824
26,"Wales",644,470,37.0212765957447
27,"Wales",674,480,40.4166666666667
28,"Wales",621,398,56.0301507537689
29,"Wales",692,369,87.5338753387534
30,"Wales",569,423,34.5153664302601
31,"Wales",601,416,44.4711538461539
32,"Wales",595,458,29.9126637554585
33,"Wales",543,403,34.7394540942928
34,"Wales",611,337,81.3056379821959
35,"Wales",620,394,57.3604060913706
36,"Wales",610,471,29.5116772823779
37,"Wales",799,456,75.219298245614
38,"Wales",641,438,46.3470319634703
39,"Wales",850,397,114.105793450882
1,"London",3509,1083,224.007386888273
2,"London",3968,1653,140.048396854204
3,"London",4175,1701,145.443856554968
4,"London",4021,1778,126.15298087739
5,"London",4055,1616,150.928217821782
6,"London",4308,1943,121.718991250643
7,"London",3807,1663,128.923631990379
8,"London",4291,1643,161.168594035301
9,"London",4643,1827,154.132457580733
10,"London",4088,1910,114.031413612565
11,"London",3970,1784,122.533632286996
12,"London",4184,1875,123.146666666667
13,"London",4584,2088,119.540229885057
14,"London",3519,1794,96.1538461538461
15,"London",4258,2160,97.1296296296296
16,"London",4020,1160,246.551724137931
17,"London",4310,1753,145.864232743868
18,"London",3665,1431,156.114605171209
19,"London",4013,1916,109.446764091858
20,"London",4667,1962,137.869520897044
21,"London",3647,1626,124.292742927429
22,"London",3454,1907,81.1221814368117
23,"London",3749,1893,98.0454305335446
24,"London",3391,2012,68.5387673956262
25,"London",3564,1770,101.35593220339
26,"London",3764,1812,107.726269315673
27,"London",3431,2151,59.5072059507206
28,"London",3423,1824,87.6644736842105
29,"London",3372,1829,84.3630399125205
30,"London",3536,1662,112.755716004813
31,"London",3315,1800,84.1666666666667
32,"London",3512,1825,92.4383561643836
33,"London",3444,1673,105.857740585774
34,"London",3333,1495,122.943143812709
35,"London",3334,1849,80.3136830719308
36,"London",3386,1816,86.4537444933921
37,"London",3843,1980,94.0909090909091
38,"London",3603,2029,77.5751601774273
39,"London",3931,2020,94.6039603960396
