"date","ni","day"
2020-12-22,2264,"Tue"
2020-12-23,2274,"Wed"
2020-12-24,1543,"Thu"
2020-12-25,0,NA
2020-12-26,0,NA
2020-12-27,0,NA
2020-12-28,0,NA
2020-12-29,2529,"Tue"
2020-12-30,3142,"Wed"
2020-12-31,2339,"Thu"
2021-01-01,68,"Fri"
2021-01-02,106,"Sat"
2021-01-03,0,NA
2021-01-04,3679,"Mon"
2021-01-05,3276,"Tue"
2021-01-06,3592,"Wed"
2021-01-07,2339,"Thu"
2021-01-08,2818,"Fri"
2021-01-09,0,NA
2021-01-10,0,NA
2021-01-11,3585,"Mon"
2021-01-12,2982,"Tue"
2021-01-13,3115,"Wed"
2021-01-14,2790,"Thu"
2021-01-15,2635,"Fri"
2021-01-16,0,NA
2021-01-17,1,"Sun"
2021-01-18,4313,"Mon"
2021-01-19,3024,"Tue"
2021-01-20,3366,"Wed"
2021-01-21,2770,"Thu"
2021-01-22,2218,"Fri"
2021-01-23,0,NA
2021-01-24,53,"Sun"
2021-01-25,4303,"Mon"
2021-01-26,2985,"Tue"
2021-01-27,3255,"Wed"
2021-01-28,2648,"Thu"
2021-01-29,2650,"Fri"
2021-01-30,104,"Sat"
2021-01-31,0,NA
2021-02-01,3607,"Mon"
2021-02-02,3206,"Tue"
2021-02-03,3344,"Wed"
2021-02-04,2896,"Thu"
2021-02-05,2709,"Fri"
2021-02-06,98,"Sat"
2021-02-07,0,NA
2021-02-08,3939,"Mon"
2021-02-09,3678,"Tue"
2021-02-10,3600,"Wed"
2021-02-11,3306,"Thu"
2021-02-12,2117,"Fri"
2021-02-13,0,NA
2021-02-14,0,NA
2021-02-15,2890,"Mon"
2021-02-16,3536,"Tue"
2021-02-17,3247,"Wed"
2021-02-18,3142,"Thu"
2021-02-19,2941,"Fri"
2021-02-20,0,NA
2021-02-21,0,NA
2021-02-22,3182,"Mon"
2021-02-23,2993,"Tue"
2021-02-24,3900,"Wed"
2021-02-25,3951,"Thu"
2021-02-26,2922,"Fri"
2021-02-27,2886,"Sat"
2021-02-28,0,NA
2021-03-01,3427,"Mon"
2021-03-02,3489,"Tue"
2021-03-03,3212,"Wed"
2021-03-04,2840,"Thu"
2021-03-05,3228,"Fri"
2021-03-06,0,NA
2021-03-07,0,NA
2021-03-08,3753,"Mon"
2021-03-09,2870,"Tue"
2021-03-10,2863,"Wed"
2021-03-11,3439,"Thu"
2021-03-12,3616,"Fri"
2021-03-13,53,"Sat"
2021-03-14,1,"Sun"
2021-03-15,4238,"Mon"
2021-03-16,3357,"Tue"
2021-03-17,2513,"Wed"
2021-03-18,2680,"Thu"
2021-03-19,3130,"Fri"
2021-03-20,2,"Sat"
2021-03-21,1854,"Sun"
2021-03-22,3466,"Mon"
2021-03-23,2724,"Tue"
2021-03-24,3196,"Wed"
2021-03-25,2561,"Thu"
2021-03-26,3242,"Fri"
2021-03-27,0,NA
2021-03-28,2005,"Sun"
2021-03-29,4084,"Mon"
2021-03-30,2942,"Tue"
2021-03-31,3085,"Wed"
2021-04-01,3127,"Thu"
2021-04-02,0,NA
2021-04-03,3223,"Sat"
2021-04-04,0,NA
2021-04-05,1,"Mon"
2021-04-06,3498,"Tue"
2021-04-07,3591,"Wed"
2021-04-08,4057,"Thu"
2021-04-09,3498,"Fri"
2021-04-10,0,NA
2021-04-11,0,NA
2021-04-12,3191,"Mon"
2021-04-13,2602,"Tue"
2021-04-14,3566,"Wed"
2021-04-15,3402,"Thu"
2021-04-16,3064,"Fri"
2021-04-17,0,NA
2021-04-18,0,NA
2021-04-19,3973,"Mon"
2021-04-20,2440,"Tue"
2021-04-21,2773,"Wed"
2021-04-22,2511,"Thu"
2021-04-23,2699,"Fri"
2021-04-24,0,NA
2021-04-25,0,NA
2021-04-26,3622,"Mon"
2021-04-27,3432,"Tue"
2021-04-28,3157,"Wed"
2021-04-29,2948,"Thu"
2021-04-30,2461,"Fri"
2021-05-01,16,"Sat"
2021-05-02,0,NA
2021-05-03,2277,"Mon"
2021-05-04,3780,"Tue"
2021-05-05,2858,"Wed"
2021-05-06,2460,"Thu"
2021-05-07,2458,"Fri"
2021-05-08,0,NA
2021-05-09,0,NA
2021-05-10,3022,"Mon"
2021-05-11,3823,"Tue"
2021-05-12,2974,"Wed"
2021-05-13,3187,"Thu"
2021-05-14,4417,"Fri"
2021-05-15,303,"Sat"
2021-05-16,1936,"Sun"
2021-05-17,3201,"Mon"
2021-05-18,2617,"Tue"
2021-05-19,2364,"Wed"
2021-05-20,2960,"Thu"
2021-05-21,2353,"Fri"
2021-05-22,0,NA
2021-05-23,0,NA
2021-05-24,3387,"Mon"
2021-05-25,2647,"Tue"
2021-05-26,3061,"Wed"
2021-05-27,2858,"Thu"
2021-05-28,2733,"Fri"
2021-05-29,0,NA
2021-05-30,0,NA
2021-05-31,1546,"Mon"
2021-06-01,3319,"Tue"
2021-06-02,2564,"Wed"
2021-06-03,2494,"Thu"
2021-06-04,2339,"Fri"
2021-06-05,0,NA
2021-06-06,0,NA
2021-06-07,3714,"Mon"
2021-06-08,2842,"Tue"
2021-06-09,2476,"Wed"
2021-06-10,2850,"Thu"
2021-06-11,2196,"Fri"
2021-06-12,0,NA
2021-06-13,0,NA
2021-06-14,2975,"Mon"
2021-06-15,3005,"Tue"
2021-06-16,2443,"Wed"
2021-06-17,2613,"Thu"
2021-06-18,2758,"Fri"
2021-06-19,228,"Sat"
2021-06-20,267,"Sun"
2021-06-21,3436,"Mon"
2021-06-22,2344,"Tue"
2021-06-23,2223,"Wed"
2021-06-24,2330,"Thu"
2021-06-25,2718,"Fri"
2021-06-26,216,"Sat"
2021-06-27,263,"Sun"
2021-06-28,2892,"Mon"
2021-06-29,2610,"Tue"
2021-06-30,2499,"Wed"
2021-07-01,2904,"Thu"
2021-07-02,2024,"Fri"
2021-07-03,390,"Sat"
2021-07-04,400,"Sun"
2021-07-05,3309,"Mon"
2021-07-06,2482,"Tue"
2021-07-07,2344,"Wed"
2021-07-08,2551,"Thu"
2021-07-09,2852,"Fri"
2021-07-10,64,"Sat"
2021-07-11,0,NA
2021-07-12,2295,"Mon"
2021-07-13,2542,"Tue"
2021-07-14,2194,"Wed"
2021-07-15,2841,"Thu"
2021-07-16,2240,"Fri"
2021-07-17,198,"Sat"
2021-07-18,224,"Sun"
2021-07-19,3001,"Mon"
2021-07-20,2488,"Tue"
2021-07-21,2062,"Wed"
2021-07-22,2727,"Thu"
2021-07-23,2674,"Fri"
2021-07-24,265,"Sat"
2021-07-25,257,"Sun"
2021-07-26,2512,"Mon"
2021-07-27,2602,"Tue"
2021-07-28,2559,"Wed"
2021-07-29,2581,"Thu"
2021-07-30,2512,"Fri"
2021-07-31,275,"Sat"
2021-08-01,324,"Sun"
2021-08-02,2624,"Mon"
2021-08-03,1603,"Tue"
2021-08-04,2953,"Wed"
2021-08-05,2693,"Thu"
2021-08-06,2832,"Fri"
2021-08-07,281,"Sat"
2021-08-08,308,"Sun"
2021-08-09,3077,"Mon"
2021-08-10,2095,"Tue"
2021-08-11,2407,"Wed"
2021-08-12,2769,"Thu"
2021-08-13,2422,"Fri"
2021-08-14,205,"Sat"
2021-08-15,254,"Sun"
2021-08-16,2755,"Mon"
2021-08-17,2567,"Tue"
2021-08-18,2456,"Wed"
2021-08-19,2155,"Thu"
2021-08-20,2062,"Fri"
2021-08-21,0,NA
2021-08-22,0,NA
2021-08-23,3435,"Mon"
2021-08-24,3127,"Tue"
2021-08-25,2835,"Wed"
2021-08-26,2380,"Thu"
2021-08-27,2212,"Fri"
2021-08-28,208,"Sat"
2021-08-29,225,"Sun"
2021-08-30,1708,"Mon"
2021-08-31,2835,"Tue"
2021-09-01,2985,"Wed"
2021-09-02,2269,"Thu"
2021-09-03,2337,"Fri"
2021-09-04,245,"Sat"
2021-09-05,304,"Sun"
2021-09-06,2963,"Mon"
2021-09-07,2670,"Tue"
2021-09-08,2876,"Wed"
2021-09-09,2231,"Thu"
2021-09-10,2941,"Fri"
2021-09-11,291,"Sat"
2021-09-12,273,"Sun"
2021-09-13,2765,"Mon"
2021-09-14,3413,"Tue"
2021-09-15,2873,"Wed"
2021-09-16,2876,"Thu"
2021-09-17,2492,"Fri"
2021-09-18,251,"Sat"
2021-09-19,301,"Sun"
2021-09-20,2607,"Mon"
2021-09-21,3093,"Tue"
2021-09-22,2618,"Wed"
2021-09-23,2636,"Thu"
2021-09-24,2692,"Fri"
2021-09-25,257,"Sat"
2021-09-26,293,"Sun"
2021-09-27,2821,"Mon"
2021-09-28,3189,"Tue"
2021-09-29,2849,"Wed"
2021-09-30,3382,"Thu"
2021-10-01,2557,"Fri"
2021-10-02,246,"Sat"
2021-10-03,297,"Sun"
2021-10-04,3121,"Mon"
2021-10-05,2882,"Tue"
2021-10-06,2813,"Wed"
2021-10-07,2207,"Thu"
2021-10-08,2260,"Fri"
2021-10-09,260,"Sat"
2021-10-10,260,"Sun"
2021-10-11,2356,"Mon"
2021-10-12,3008,"Tue"
2021-10-13,2696,"Wed"
2021-10-14,3302,"Thu"
2021-10-15,2573,"Fri"
2021-10-16,250,"Sat"
2021-10-17,274,"Sun"
2021-10-18,2965,"Mon"
2021-10-19,3485,"Tue"
2021-10-20,3399,"Wed"
2021-10-21,3600,"Thu"
2021-10-22,2937,"Fri"
2021-10-23,280,"Sat"
2021-10-24,268,"Sun"
2021-10-25,3485,"Mon"
2021-10-26,2552,"Tue"
2021-10-27,2645,"Wed"
2021-10-28,2621,"Thu"
2021-10-29,2734,"Fri"
2021-10-30,250,"Sat"
2021-10-31,324,"Sun"
2021-11-01,3666,"Mon"
2021-11-02,3229,"Tue"
2021-11-03,2839,"Wed"
2021-11-04,1732,"Thu"
2021-11-05,2912,"Fri"
2021-11-06,261,"Sat"
2021-11-07,215,"Sun"
2021-11-08,3248,"Mon"
2021-11-09,3384,"Tue"
2021-11-10,3048,"Wed"
2021-11-11,2656,"Thu"
2021-11-12,2769,"Fri"
2021-11-13,0,NA
2021-11-14,558,"Sun"
2021-11-15,3138,"Mon"
2021-11-16,2625,"Tue"
2021-11-17,3112,"Wed"
2021-11-18,3296,"Thu"
2021-11-19,2503,"Fri"
2021-11-20,247,"Sat"
2021-11-21,315,"Sun"
2021-11-22,3113,"Mon"
2021-11-23,2683,"Tue"
2021-11-24,2665,"Wed"
2021-11-25,2275,"Thu"
2021-11-26,2752,"Fri"
2021-11-27,267,"Sat"
2021-11-28,276,"Sun"
2021-11-29,3198,"Mon"
2021-11-30,2649,"Tue"
2021-12-01,2358,"Wed"
2021-12-02,2114,"Thu"
2021-12-03,3379,"Fri"
2021-12-04,327,"Sat"
2021-12-05,269,"Sun"
2021-12-06,3085,"Mon"
2021-12-07,2669,"Tue"
2021-12-08,2795,"Wed"
