"month","Class","n","Class.name"
Nov 2020,4799,932,"Other retail sale not in stores, stalls or markets"
Dec 2020,4511,548,"Sale of cars and light motor vehicles"
Dec 2020,4519,115,"Sale of other motor vehicles"
Dec 2020,4520,433,"Maintenance and repair of motor vehicles"
Dec 2020,4531,61,"Wholesale trade of motor vehicle parts and accessories"
Dec 2020,4532,145,"Retail trade of motor vehicle parts and accessories"
Dec 2020,4540,29,"Sale, maintenance and repair of motorcycles and related parts and accessories"
Dec 2020,4611,30,"Agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods"
Dec 2020,4612,17,"Agents involved in the sale of fuels, ores, metals and industrial chemicals"
Dec 2020,4613,34,"Agents involved in the sale of timber and building materials"
Dec 2020,4614,32,"Agents involved in the sale of machinery, industrial equipment, ships and aircraft"
Dec 2020,4615,64,"Agents involved in the sale of furniture, household goods, hardware and ironmongery"
Dec 2020,4616,363,"Agents involved in the sale of textiles, clothing, fur, footwear and leather goods"
Dec 2020,4617,79,"Agents involved in the sale of food, beverages and tobacco"
Dec 2020,4618,122,"Agents specialised in the sale of other particular products"
Dec 2020,4619,301,"Agents involved in the sale of a variety of goods"
Dec 2020,4621,13,"Wholesale of grain, unmanufactured tobacco, seeds and animal feeds"
Dec 2020,4622,34,"Wholesale of flowers and plants"
Dec 2020,4623,2,"Wholesale of live animals"
Dec 2020,4624,6,"Wholesale of hides, skins and leather"
Dec 2020,4631,61,"Wholesale of fruit and vegetables"
Dec 2020,4632,27,"Wholesale of meat and meat products"
Dec 2020,4633,19,"Wholesale of dairy products, eggs and edible oils and fats"
Dec 2020,4634,123,"Wholesale of beverages"
Dec 2020,4635,5,"Wholesale of tobacco products"
Dec 2020,4636,23,"Wholesale of sugar and chocolate and sugar confectionery"
Dec 2020,4637,63,"Wholesale of coffee, tea, cocoa and spices"
Dec 2020,4638,38,"Wholesale of other food, including fish, crustaceans and molluscs"
Dec 2020,4639,63,"Non-specialised wholesale of food, beverages and tobacco"
Dec 2020,4641,64,"Wholesale of textiles"
Dec 2020,4642,260,"Wholesale of clothing and footwear"
Dec 2020,4643,24,"Wholesale of electrical household appliances"
Dec 2020,4644,6,"Wholesale of china and glassware and cleaning materials"
Dec 2020,4645,151,"Wholesale of perfume and cosmetics"
Dec 2020,4646,52,"Wholesale of pharmaceutical goods"
Dec 2020,4647,44,"Wholesale of furniture, carpets and lighting equipment"
Dec 2020,4648,38,"Wholesale of watches and jewellery"
Dec 2020,4649,95,"Wholesale of other household goods"
Dec 2020,4651,78,"Wholesale of computers, computer peripheral equipment and software"
Dec 2020,4652,65,"Wholesale of electronic and telecommunications equipment and parts"
Dec 2020,4661,14,"Wholesale of agricultural machinery, equipment and supplies"
