"date","ni","day"
2021-01-03,0,NA
2021-01-04,1616,"Mon"
2021-01-05,1471,"Tue"
2021-01-06,1593,"Wed"
2021-01-07,1007,"Thu"
2021-01-08,1260,"Fri"
2021-01-09,0,NA
2021-01-10,0,NA
2021-01-11,1569,"Mon"
2021-01-12,1320,"Tue"
2021-01-13,1429,"Wed"
2021-01-14,1260,"Thu"
2021-01-15,1119,"Fri"
2021-01-16,0,NA
2021-01-17,0,NA
2021-01-18,1903,"Mon"
2021-01-19,1306,"Tue"
2021-01-20,1465,"Wed"
2021-01-21,1222,"Thu"
2021-01-22,1019,"Fri"
2021-01-23,0,NA
2021-01-24,22,"Sun"
2021-01-25,1905,"Mon"
2021-01-26,1348,"Tue"
2021-01-27,1424,"Wed"
2021-01-28,1184,"Thu"
2021-01-29,1204,"Fri"
2021-01-30,47,"Sat"
2021-01-31,0,NA
2021-02-01,1648,"Mon"
2021-02-02,1364,"Tue"
2021-02-03,1462,"Wed"
2021-02-04,1290,"Thu"
2021-02-05,1236,"Fri"
2021-02-06,45,"Sat"
2021-02-07,0,NA
2021-02-08,1742,"Mon"
2021-02-09,1635,"Tue"
2021-02-10,1529,"Wed"
2021-02-11,1473,"Thu"
2021-02-12,901,"Fri"
2021-02-13,0,NA
2021-02-14,0,NA
2021-02-15,1266,"Mon"
2021-02-16,1555,"Tue"
2021-02-17,1436,"Wed"
2021-02-18,1425,"Thu"
2021-02-19,1307,"Fri"
2021-02-20,0,NA
2021-02-21,0,NA
2021-02-22,1422,"Mon"
2021-02-23,1375,"Tue"
2021-02-24,1690,"Wed"
2021-02-25,1755,"Thu"
2021-02-26,1295,"Fri"
2021-02-27,1290,"Sat"
2021-02-28,0,NA
2021-03-01,1482,"Mon"
2021-03-02,1490,"Tue"
2021-03-03,1411,"Wed"
2021-03-04,1221,"Thu"
2021-03-05,1395,"Fri"
2021-03-06,0,NA
2021-03-07,0,NA
2021-03-08,1594,"Mon"
2021-03-09,1262,"Tue"
2021-03-10,1258,"Wed"
2021-03-11,1530,"Thu"
2021-03-12,1551,"Fri"
2021-03-13,26,"Sat"
2021-03-14,0,NA
2021-03-15,1857,"Mon"
2021-03-16,1501,"Tue"
2021-03-17,1107,"Wed"
2021-03-18,1189,"Thu"
2021-03-19,1417,"Fri"
2021-03-20,1,"Sat"
2021-03-21,925,"Sun"
2021-03-22,1457,"Mon"
2021-03-23,1212,"Tue"
2021-03-24,1479,"Wed"
2021-03-25,1171,"Thu"
2021-03-26,1437,"Fri"
2021-03-27,0,NA
2021-03-28,912,"Sun"
2021-03-29,1809,"Mon"
2021-03-30,1347,"Tue"
2021-03-31,1358,"Wed"
2021-04-01,1340,"Thu"
2021-04-02,0,NA
2021-04-03,1398,"Sat"
2021-04-04,0,NA
2021-04-05,0,NA
2021-04-06,1539,"Tue"
2021-04-07,1526,"Wed"
2021-04-08,1854,"Thu"
2021-04-09,1475,"Fri"
2021-04-10,0,NA
2021-04-11,0,NA
2021-04-12,1391,"Mon"
2021-04-13,1146,"Tue"
